13519100_001	Halo, selamat pagi semuanya.
13519100_002	Ini hari Senin ya, sudah masuk awal minggu lagi nih.
13519100_003	Gimana liburannya di hari Sabtu dan Minggu kemarin?
13519100_004	Kalo aku kemarin pergi ke Pangalengan kak sama temen temen.
13519100_005	Pagi banget sih kak, jam empat supaya dapet suasana subuhnya sambil liat matahari yang muncul hehe.
13519100_006	Wah seru banget, macet engga kalo pagi-pagi gitu?
13519100_007	Kan hari libur ya, penasaran aja sih.
13519100_008	Ramai lancar sih kak, gak terlalu macet.
13519100_009	Tapi seru kok perjalanannya meski jauh tapi sambil di jalan sambil bisa liat pemandangan pegunungannya juga.
13519100_010	Asik banget sih, kalo yang lain gimana liburannya?
13519100_011	Aku belanja kak hehe, bareng sama keluarga.
13519100_012	Kebetulan mereka lagi ke Bandung buat liburan jadi sekalian pergi ke pusat perbelanjaan deh disini.
13519100_013	Wah asik banget belanja, ke daerah mana tuh?
13519100_014	Biasa sih kak, ke tempat yang gede aja di daerah sukajadi.
13519100_015	Oiya, aku tau juga tuh.
13519100_016	Yang lain juga pasti liburannya asik-asik kan ya?
13519100_017	Semoga kemarin juga selama libur sempet istirahat ya, biar seger lagi badan dan pikirannya.
13519100_018	Untuk pertemuan pagi ini, seperti biasa boleh dibahas hasil pekerjaan masing-masing yang sudah dilakukan di minggu kemarin ya.
13519100_019	Kalo ada kendala juga boleh diceritakan.
13519100_020	Oke dari aku dulu ya kak.
13519100_021	Kemarin aku sudah selesai mengerjakan fiksasi halaman utama, sudah sesuai dengan desain yang dibuat juga.
13519100_022	Sempat ada kendala untuk pengerjaan beberapa komponen sih kak, tapi alhamdulilah sudah bisa teratasi dengan bantuan temen temen yang lain.
13519100_023	Untuk hasil pekerjaannya sudah aku masukkan ke dalam repo, tinggal menunggu hasil pemeriksaan.
13519100_024	Hari ini mungkin aku mau kerjakan tugas yang selanjutnya kak, yang waktu hari jumat kemarin kakak berikan.
13519100_025	Oke, makasih ya.
13519100_026	Boleh dilanjutkan saja pekerjaannya.
13519100_027	Oke siap kak.
13519100_028	Selanjutnya mungkin, silakan.
13519100_029	Oke kak, aku mau.
13519100_030	Kemarin aku menyelesaikan perbaikan kode.
13519100_031	Sudah ketemu masalah-masalah yang menjadi penyebab error kemarin, dan sudah tertangani juga kak.
13519100_032	Mungkin hari ini pengecekan terakhir sebelum hasilnya dimasukkan ke repo ya kak.
13519100_033	Itu aja dari aku, makasih kak.
13519100_034	Oke bagus, jadi sudah aman ya gak ada masalah lagi.
13519100_035	Iya kak aman.
13519100_036	Oke kalo ada apa-apa langsung bilang aja ya.
13519100_037	Oke siap kak.
13519100_038	Boleh lanjut yang lain.
13519100_039	Aku mau kak.
13519100_040	Boleh silakan.
13519100_041	Dari aku sebenarnya belum ada perubahan dari segi hasilnya.
13519100_042	Kemarin aku coba algoritma yang lain untuk menyelesaikan masalahnya, tapi rupanya masih gagal juga.
13519100_043	Untuk error-error nya sudah coba aku cari tau penyebabnya, tapi agak jalan buntu kak.
